SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,Unnamed: 13
IBULHSGFIN,N8,950.0,950.0,950.0,950.0,950.0,960.0,149,141550.0,01-JUN-2023,4,INE148I07GJ7,
IBULHSGFIN,N9,980.0,980.0,980.0,980.0,980.0,980.0,1,980.0,01-JUN-2023,1,INE148I07GK5,
IBULHSGFIN,,980.0,980.0,970.0,970.01,970.01,970.0,101,98349.54,01-JUN-2023,10,INE148I07GL3,
IBULHSGFIN,NE,985.0,985.0,985.0,985.0,985.0,970.0,1,985.0,01-JUN-2023,1,INE148I08256,
IBULHSGFIN,NG,1043.8,1043.8,1043.8,1043.8,1043.8,1043.8,6,6262.8,01-JUN-2023,2,INE148I07KA8,
IBULHSGFIN,NH,1042.0,1042.0,1042.0,1042.0,1042.0,1042.0,5,5210.0,01-JUN-2023,1,INE148I07KB6,
IBULHSGFIN,NL,970.0,970.0,970.0,970.0,970.0,990.0,90,87300.0,01-JUN-2023,3,INE148I07KF7,
IBULHSGFIN,NO,1041.1,1041.1,886.0,886.0,886.0,1035.55,190,183301.0,01-JUN-2023,3,INE148I07KJ9,
IBULHSGFIN,NT,958.4,958.4,958.4,958.4,0.0,984.9,15,14376.0,01-JUN-2023,1,INE148I07KP6,
IBULHSGFIN,Y3,970.0,970.0,970.0,970.0,970.0,970.0,8,7760.0,01-JUN-2023,1,INE148I07KV4,
IBULHSGFIN,Y8,961.1,961.1,961.1,961.1,961.1,967.12,17,16338.7,01-JUN-2023,1,INE148I07LA6,
IBULHSGFIN,YT,942.0,999.0,942.0,997.0,0.0,970.0,168,162966.0,01-JUN-2023,6,INE148I07LV2,
IBULHSGFIN,YV,1013.0,1013.9,1000.0,1013.24,1013.0,995.0,103,104249.08,01-JUN-2023,12,INE148I07LW0,
IBULHSGFIN,Z3,973.0,973.0,950.0,963.57,950.0,925.1,45,43455.0,01-JUN-2023,3,INE148I07MF3,
IBULHSGFIN,ZP,940.1,940.1,940.1,940.1,940.1,950.0,2,1880.2,01-JUN-2023,2,INE148I07NC8,
ICICIBANK,EQ,954.25,954.25,932.8,936.1,936.45,949.15,21650700,20482235167.7,01-JUN-2023,199559,INE090A01021,
ICICIGI,EQ,1173.0,1228.8,1173.0,1225.25,1224.2,1182.1,1228214,1492572673.35,01-JUN-2023,49255,INE765G01017,
ICICIPRULI,EQ,471.0,482.55,465.0,478.0,476.0,466.0,2734461,1304436744.55,01-JUN-2023,63464,INE726G01019,
IDEA,EQ,7.2,7.25,7.15,7.15,7.15,7.2,39538257,284486430.45,01-JUN-2023,46349,INE669E01016,
IDFC,EQ,98.7,100.25,98.7,99.4,99.1,99.2,4784978,476406503.15,01-JUN-2023,18005,INE043D01016,
IDFCFIRSTB,EQ,71.5,73.4,71.25,72.6,72.6,71.65,38796472,2815515690.25,01-JUN-2023,88128,INE092T01019,
IEX,EQ,153.85,155.0,153.0,153.45,153.55,153.0,2216723,340844079.7,01-JUN-2023,21390,INE022Q01020,
IGL,EQ,475.0,476.4,468.15,471.75,471.8,480.6,2274400,1073952769.7,01-JUN-2023,38673,INE203G01027,
INDHOTEL,EQ,389.7,396.4,386.2,395.7,395.0,389.7,5081690,1996404301.25,01-JUN-2023,71654,INE053A01029,
INDIACEM,EQ,202.35,213.25,201.6,210.9,210.45,202.35,8470578,1768148301.5,01-JUN-2023,51695,INE383A01012,
INDIAMART,EQ,5583.95,5665.0,5551.5,5601.05,5605.0,5580.55,103278,578651149.95,01-JUN-2023,15001,INE933S01016,
INDIGO,EQ,2372.5,2372.5,2335.75,2343.8,2343.0,2372.5,431516,1014850244.4,01-JUN-2023,35189,INE646L01027,
INDUSINDBK,EQ,1280.0,1298.0,1251.5,1290.15,1291.0,1286.6,3244947,4177275793.15,01-JUN-2023,77821,INE095A01012,
INDUSTOWER,EQ,156.0,160.7,155.85,158.55,158.0,153.85,14342857,2273645147.9,01-JUN-2023,75617,INE121J01017,
INFY,EQ,1322.55,1329.5,1318.1,1319.5,1320.55,1318.3,4277841,5659176889.55,01-JUN-2023,189819,INE009A01021,
INTELLECT,EQ,587.05,605.0,586.75,602.5,599.05,586.0,1025639,612357877.5,01-JUN-2023,27864,INE306R01017,
IOC,EQ,90.5,91.15,89.9,90.5,90.6,90.0,11770478,1067679248.85,01-JUN-2023,44126,INE242A01010,
IPCALAB,EQ,705.0,711.45,698.6,705.5,705.15,700.95,346424,244657863.4,01-JUN-2023,14507,INE571A01038,
IRCTC,EQ,650.1,659.1,647.45,649.5,650.3,649.5,2453298,1602551020.1,01-JUN-2023,56238,INE335Y01020,
ITC,EQ,447.0,447.0,439.0,439.7,440.1,445.5,8803137,3888310387.15,01-JUN-2023,134912,INE154A01025,
JINDALSTEL,EQ,520.0,520.9,507.95,509.85,509.9,517.25,2436623,1249937028.9,01-JUN-2023,41133,INE749A01030,
JKCEMENT,EQ,3208.35,3228.0,3198.15,3210.05,3207.5,3208.3,56807,182473941.0,01-JUN-2023,8188,INE823G01014,
JSWSTEEL,EQ,698.9,701.9,691.15,693.85,692.95,696.3,1995511,1387220664.65,01-JUN-2023,36477,INE019A01038,
JUBLFOOD,EQ,487.0,494.5,483.3,491.5,490.05,483.3,1586384,778300735.65,01-JUN-2023,36828,INE797F01020,
KOTAKBANK,EQ,1968.0,1979.15,1925.0,1930.05,1929.0,2014.35,5967432,11581861981.0,01-JUN-2023,196305,INE237A01028,
L&TFH,EQ,104.2,105.85,104.2,104.85,104.9,104.15,6886135,724584093.5,01-JUN-2023,25345,INE498L01015,
LALPATHLAB,EQ,2048.0,2056.0,1999.9,2005.35,2009.0,2032.95,194879,393345154.55,01-JUN-2023,13375,INE600L01024,
LAURUSLABS,EQ,334.65,345.0,333.05,340.5,340.05,330.7,6986665,2378763260.3,01-JUN-2023,70193,INE947Q01028,
LICHSGFIN,EQ,373.95,379.35,372.75,377.1,376.3,372.0,926549,348936597.6,01-JUN-2023,13546,INE115A01026,
LT,EQ,2217.0,2222.0,2202.15,2207.8,2209.4,2205.65,1049488,2321170531.55,01-JUN-2023,77153,INE018A01030,
LTIM,EQ,5018.75,5040.0,4957.55,4969.3,4968.0,4998.4,320472,1600245290.1,01-JUN-2023,26630,INE214T01019,
LTTS,EQ,3916.95,3932.45,3885.2,3898.05,3894.75,3903.0,118870,465599535.3,01-JUN-2023,11431,INE010V01017,
LUPIN,EQ,806.0,817.35,805.0,812.15,813.5,804.5,905122,735738609.95,01-JUN-2023,29692,INE326A01037,
M&M,EQ,1319.0,1337.7,1312.8,1318.9,1319.8,1319.0,2364455,3131520548.2,01-JUN-2023,161465,INE101A01026,
M&MFIN,EQ,283.2,295.0,283.2,294.05,293.9,284.3,5065861,1480150883.95,01-JUN-2023,48283,INE774D01024,
M&MFIN,N2,1034.97,1036.99,1029.0,1029.0,1029.0,1034.97,177,182412.53,01-JUN-2023,9,INE774D08MA6,
MANAPPURAM,EQ,110.65,114.7,110.2,113.4,113.3,110.25,21218342,2395755227.05,01-JUN-2023,55108,INE522D01027,
MARICO,EQ,544.0,558.75,538.7,556.3,556.65,543.05,1969756,1091034808.8,01-JUN-2023,53595,INE196A01026,
MARUTI,EQ,9337.5,9377.55,9222.0,9328.3,9330.0,9367.7,378706,3524409606.2,01-JUN-2023,46443,INE585B01010,
MCDOWELL-N,EQ,883.0,888.5,872.4,876.15,874.8,883.5,545741,481181118.35,01-JUN-2023,18578,INE854D01024,
MCX,EQ,1461.8,1478.0,1453.0,1475.5,1477.2,1455.25,225942,332365652.35,01-JUN-2023,13463,INE745G01035,
METROPOLIS,EQ,1301.2,1326.4,1300.85,1307.15,1305.0,1301.15,123634,162621158.2,01-JUN-2023,8499,INE112L01020,
MFSL,EQ,706.65,715.9,702.0,703.2,703.05,706.55,305604,216380473.8,01-JUN-2023,11660,INE180A01020,
MGL,EQ,1057.8,1079.9,1055.65,1069.0,1071.0,1057.8,602650,644727800.45,01-JUN-2023,40982,INE002S01010,
MOTHERSON,EQ,79.0,79.95,78.65,78.9,79.1,79.05,6139201,487013778.2,01-JUN-2023,23102,INE775A01035,
MPHASIS,EQ,1955.0,2023.0,1955.0,1977.35,1971.0,1946.85,778642,1555899175.0,01-JUN-2023,48561,INE356A01018,
MRF,EQ,97100.0,97988.95,97099.0,97567.3,97600.0,97211.7,3795,370428295.9,01-JUN-2023,2734,INE883A01011,
MUTHOOTFIN,EQ,1120.0,1131.15,1112.5,1126.05,1126.6,1115.5,229233,257883882.1,01-JUN-2023,14576,INE414G01012,
NATIONALUM,EQ,83.95,84.3,82.6,82.75,82.9,83.8,4392057,365593094.2,01-JUN-2023,11192,INE139A01034,
NAUKRI,EQ,4100.0,4281.95,4095.05,4218.65,4214.0,4073.85,829850,3510325586.85,01-JUN-2023,73311,INE663F01024,
NAVINFLUOR,EQ,4657.65,4686.4,4570.0,4592.25,4580.0,4665.1,100445,464989274.8,01-JUN-2023,8845,INE048G01026,
NESTLEIND,EQ,21786.0,21924.95,21572.8,21874.3,21820.0,21673.1,59866,1306767340.9,01-JUN-2023,19406,INE239A01016,
NMDC,EQ,106.5,107.5,106.5,106.9,107.0,106.8,10151216,1086562684.75,01-JUN-2023,18854,INE584A01023,
NTPC,EQ,173.6,174.7,171.85,174.4,174.4,173.85,11602551,2014593946.3,01-JUN-2023,74062,INE733E01010,
NTPC,N2,1200.0,1200.0,1175.0,1175.0,1175.0,1230.0,2891,3396953.0,01-JUN-2023,7,INE733E07JF7,
NTPC,N4,1048.5,1048.5,1048.5,1048.5,1048.5,1048.5,1,1048.5,01-JUN-2023,1,INE733E07JH3,
NTPC,N6,1320.0,1320.0,1314.01,1314.01,1314.01,1320.0,100,131764.1,01-JUN-2023,6,INE733E07JJ9,
NTPC,N7,10.3,10.34,10.3,10.32,10.33,10.3,11634,120005.22,01-JUN-2023,72,INE733E07JP6,
NTPC,ND,1226.0,1226.0,1211.66,1219.65,1211.66,1275.0,157,191485.22,01-JUN-2023,5,INE733E07JW2,
OBEROIRLTY,EQ,930.75,952.9,928.0,940.55,941.6,930.75,674688,636289258.9,01-JUN-2023,28325,INE093I01010,
OFSS,EQ,3650.0,3656.0,3610.0,3616.55,3621.0,3633.6,28380,103289533.8,01-JUN-2023,5138,INE881D01027,
ONGC,EQ,154.7,156.0,153.2,153.65,154.0,154.9,13982606,2156090243.3,01-JUN-2023,78938,INE213A01029,
PAGEIND,EQ,39240.0,39250.0,38704.0,39133.45,39115.0,38775.65,30679,1195158150.95,01-JUN-2023,13421,INE761H01022,
PEL,EQ,771.9,789.95,770.0,782.45,781.0,771.25,1010943,792275591.1,01-JUN-2023,32312,INE140A01024,
PERSISTENT,EQ,5158.0,5201.0,5094.25,5173.5,5170.0,5138.4,283454,1460883833.85,01-JUN-2023,29245,INE262H01013,
PETRONET,EQ,226.4,226.45,222.7,223.25,222.85,225.85,988792,221441967.4,01-JUN-2023,13941,INE347G01014,
